,address,description,name,value
634,"SCHOOL LANE, Westlands, Nairobi, Nairobi",3 Bedrooms,Westlands;Spacious 3 Bedroom Apartment +DSQ For Sale,KSh 25000000
635,"Bamburi, Bamburi, Mombasa, Coast",3 Bedrooms,Xanadu Luxury Apartments,KSh 32000000
636,"Thika Road, Thika Road, Nairobi, Nairobi",2 Bedrooms,A High End 2 Bedroom All En Suite Situated In Garden City Mall For Sale,KSh 28000000
637,"kayahwe road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Aparment Available For Sale,KSh 26000000
638,"mbaazi avenue, Lavington, Nairobi, Nairobi",3 Bedrooms,An Executive And Exclusive Apartment For Sale In Lavington,KSh 22000000
639,"Runda Mumwe, Runda, Nairobi, Nairobi",2023 Land Size (m²),1/2 Acre  of Land in Runda - S262,KSh 38000000
640,"waiyaki way, Westlands, Nairobi, Nairobi",3 Bedrooms,Executive 3 Bedoom Apartment Master Ensuite With Gym And Pool,KSh 15500000
641,"Dagorreti Road, Karen, Nairobi, Nairobi",2 Bedrooms,Executive Apartments,KSh 10000000
642,"Brookside drive, Brookside, Nairobi, Nairobi",5 Bedrooms,Exquisite And Very Spacious 5 Bedroom Penthouse On Brookside Drive,KSh 65000000
643,"Gitanga Rd Maziwa, Lavington, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Apartment / Flat For Sale In Lavington,KSh 30000000
644,"Off Rhapta Road, Westlands, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Westlands,KSh 20000000
645,"Ole Dume Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment With Sq- Superb Location,KSh 19000000
646,"SYOKIMAU, Syokimau, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale In Syokimau,KSh 5700000
647,"Muthaiga, Thika Road, Nairobi, Nairobi",28 Rooms (total),Shell Petrol Station for sale on Thika Road,KSh 250000000
648,"Gatundu Rd Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment Kileleshwa.13.5m,KSh 13500000
649,"Ruaka, Ruaka, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartments For Sale In Ruaka.,KSh 6500000
650,"KITENGELA, Kajiado, Kajiado, Rift Valley",20 Land Size (m²),"Kitengela, Land for sale",KSh 3200000
651,"Likoni Road Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Kileleshwa,KSh 15000000
652,"Kilimani, Nairobi, Nairobi",3 Bedrooms,Elegant 3 Bedroom Apartment- Kilimani,KSh 21000000
653,"Kitengela, Kitengela, Kajiado, Rift Valley",300 Land Size (m²),Corner Plot for sale  in Kitengela,KSh 3000000
654,"Gitanga road, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Master Ensuite For Sale In Lavington,KSh 16000000
655,"Rhapta Road Muthangari, Westlands, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Westlands,KSh 27000000
656,"Riara road, Lavington, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Lavington,KSh 24000000
657,"Kilimani, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Apartments In Kilimani,KSh 19500000
658,"Westlands, Nairobi, Nairobi",2 Bedrooms,Ã¢Â‚¬Å“ Sculpting The Sky Ã¢Â‚¬Â€Œ State Of The Art 2 Bedroom Apartmentã¢Â‚¬Ï†,KSh 26000000
659,"Riverside Drive, Riverside, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Riverside,KSh 35000000
660,"Brookside drive, Brookside, Nairobi, Nairobi",3 Bedrooms,Exquisite 3 Bedroom Apartment Located On Brookside Drive,KSh 27000000
661,"Elgeyo Marakwet Road Kilimani, Kilimani, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale In Kilimani,KSh 15000000
662,"Kilimani, Nairobi, Nairobi",3 Bedrooms,Kamirembe Place,KSh 22500000
663,"Turbo Rd, Hurlingham, Nairobi, Nairobi",2 Bedrooms,Stunning 2 Bedroom Dsq Apartments In Hurlingam,KSh 13000000
664,"Westlands Close, off Westlands Road, Westlands, Nairobi, Nairobi",1 Bedrooms,1 Bed Apartment In Westlands For Sale,KSh 10500000
665,"Ngong road, Ngong Road, Nairobi, Nairobi",1 Bedrooms,Studio Apartment For Sale In Ngong Road,KSh 3100000
666,"brookside gardens, Westlands, Nairobi, Nairobi",3 Bedrooms,Weslands 3 Bedroom Apartment,KSh 30000000
667,"westlands, Westlands, Nairobi, Nairobi",3 Bedrooms,Eye candy! Westlands Waiyaki Way three bedroom apartment,KSh 18500000
668,"Argwings Kodhek Rd, Kilimani, Nairobi, Nairobi",5 Bedrooms,5 Bedroom Apartment / Flat For Sale In Kilimani,KSh 70000000
669,"Lavington, Nairobi, Nairobi",4694 Land Size (m²),Prime Vacant Land for sale  in Lavington-3ke1207594,KSh 150000000
670,"General Mathenge, Westlands, Nairobi, Nairobi",279 Living area (m²),"White Oak Apartments, General Mathenge - Nairobi",Contact seller for price
671,"Kyuna, Kyuna, Nairobi, Nairobi",3200 Land Size (m²),08 Acres  of Residential Land in Kyuna - 3ke1292970,KSh 78000000
672,"Olkalou Town, Nyandarua, Karindi, Central",950 Land Size (m²),Affordable Plot of Land  for sale in Olkalou Nyandarua,KSh 2300000
673,"Nyangumi road, Kilimani, Nairobi, Nairobi",2 Bedrooms,Two Bedroom Apartment For Sale In Kilimani,KSh 20900000
674,"Off Namanga rd., Kitengela, Kajiado, Rift Valley",20 Land Size (m²),KITENGELA - 20 ACRES PRIME LAND. NEAR (K.A.G UNIVERSITY OR KENCHICK),KSh 7000000
675,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,Beautiful 5 Bedroom Townhouse in Lavington,KSh 49000000
676,"LAMU, Lamu, Lamu, Coast",14 Land Size (m²),LAMU- 138 ACRES LAND NEAR (LAPSSET CORRIDOR),KSh 103000000
677,"Kilimani, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Apartment In Kilimani,KSh 25000000
678,"Sagana Getaway Resort, Sagana, Sagana, Central",1010 Land Size (m²),Prime Plots in Sagana,KSh 3500000
679,"Mombasa road, Mombasa Road, Nairobi, Nairobi",4 Rooms (total),"Godowns 8,725 sqft Mombasa road for sale",KSh 42000000
680,"Oloitotok, Lavington, Nairobi, Nairobi",3 Bedrooms,Pearl Residency Luxury Apartments (Book Now And Get A 3 Nights Trip To India Or Dubai),KSh 30000000
681,"Riara road, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Fully Furnished Apartment For Sale In Kilimani,KSh 23000000
682,"Keekorok Road, CBD, Nairobi, Nairobi",NO462CO07YYMINTRESKEA Object ID,Commercial Property For Sale In Nairobi Cbd,KSh 98000000
683,"Wood Avenue, Kilimani, Nairobi, Nairobi",2 Bedrooms,Imagine Luxury Apartments In Kilimani,KSh 16500000
684,"Ngong road, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom For Sale Along Ngong Road,KSh 14750000
685,"CHANIA AVENUE, Kilimani, Nairobi, Nairobi",4 Bedrooms,Kilimani;4 Bedroom Apartment For Sale,KSh 23000000
686,"Kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Kilimani,KSh 30000000
687,"karen, Karen, Nairobi, Nairobi",3 Land Size (m²),Karen Plot,KSh 140000000
688,"Westlands, Westlands, Nairobi, Nairobi",3 Bedrooms,Brand New And Beautiful 3 Bedroom Apartment In Westlands,KSh 40000000
689,"Syokimau, Syokimau, Nairobi, Nairobi",2 Bedrooms,Apartment For Sale In Syokimau - 3ke1113256,KSh 4500000
690,"Gatanga Road, Thika Road, Nairobi, Nairobi",3642300 Land Size (m²),"Beautiful Proposed Land For Development And Or Agriculture, Thika",KSh 10900000
691,"Kamiti, Kamiti, Nairobi, Nairobi",2 Bedrooms,Modern 2 Bedroom Apartments For Sale - Kamiti,KSh 5750000
692,"Marula Lane, Karen, Nairobi, Nairobi",NO008LA78FZHINTRESKE-NEW Object ID,32 Acres Vacant Land for sale  in Karen - 3ke1295719,KSh 192000000
693,"Parklands, Parklands, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Parklands,KSh 19000000
694,"Mombasa road, Mombasa Road, Nairobi, Nairobi",3 Rooms (total),"Godowns Apprx 6,500 sqft for Sale Mombasa road",KSh 37000000
695,"kitengela, Riruta, Nairobi, Nairobi",101171 Land Size (m²),2 Acres for sale  in Kitengela,KSh 25000000
696,"Gatundu Crescent, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale In Kileleshwa,KSh 15750000
697,"Syokimau, Nairobi, Nairobi",8092 Land Size (m²),2 Acres Prime Land for sale  in Syokimau,KSh 22000000
698,"Gitanga road, Lavington, Nairobi, Nairobi",3 Bedrooms,"Furnished 3 Bedroom Apartment For Sale, Lavington",KSh 30000000
699,"Mugoiri Road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,"Big High End Quality 3 Bedrooms + Dsq For Sale In Kileleshwa, From Ksh. 24m Only. Show House Ready.",KSh 24000000
700,"Naivasha road, Lavington, Nairobi, Nairobi",2 Bedrooms,"Lav Valley Apartments, 2br - Lavington - Naivasha Rd",KSh 10500000
701,"Riabai Road, Kiambu Township, Kiambu, Central",3 Bedrooms,3 Bedrooms For Sale In Kiambu,KSh 12000000
702,"OLKALAO, Kinangop, Nyandarua, Rift Valley",122 Land Size (m²),122 Acres for sale  in Olkalao-Nyandarua,KSh 1500000
703,"Oloitoktok Road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,"Brand New Executive 3 Bedoom Apartment All Ensuite With Lift ,GYM, Generator",KSh 25000000
704,"1st Avenue, Mombasa, Kenya, Nyali, Mombasa, Coast",4 Bedrooms,4 Bedroom Penthouse For Sale In Nyali,KSh 23000000
705,"Lavington, Mbaazi avenue, Lavington, Nairobi, Nairobi",3 Bedrooms,For Sale In Lavington Mbaazi Avenue.,KSh 25000000
706,"Four Ways Junction, Kiambu Road, Nairobi, Nairobi",2 Bedrooms,Lymack Suites(Four Ways Junction) Fully Furnished Apartments For Sale,KSh 18000000
707,"Mombasa Road, Nairobi, Nairobi",10 Rooms (total),"Godown Apprx 15,625 sqft Mombasa road for sale",KSh 150000000
708,"Malindi Road, Mtwapa, Kilifi, Coast",5000 Land Size (m²),05 Acre Rea Vipingo The Ultimate Holiday Destination,KSh 25000000
709,"near the junction mall, Lavington, Nairobi, Nairobi",2 Bedrooms,"Lovely & Spacious Apartment , Near The Junction Mall",Contact seller for price
710,"Dennis pritt road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Kilimani,KSh 24000000
711,"Runda, Runda, Nairobi, Nairobi",2024 Land Size (m²),Vacant Land for sale  in Runda – 3ke1256869,KSh 60000000
712,"Kilimani, Nairobi, Nairobi",2 Bedrooms,Wood Avenue,KSh 20000000
713,"NEAR WHITE SANDS, North Coast, Mombasa, Coast",3 Bedrooms,Apartment For Sale,KSh 33000000
714,"Waiyaki Way, Uthiru/Ruthimutu, Nairobi, Nairobi",2 Bedrooms,Classy 2 Bedroom Apartments For Sale Under Construction In Uthiru Kinoo,KSh 7500000
715,"Langata road Carnivore restaurant, Langata, Nairobi, Nairobi",3 Bedrooms,Executive Apartment For Sale Langata,KSh 16500000
716,"Gatundu Crescent, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,The Crescent Apartments,KSh 14750000
717,"Kirichwa Road, Kilimani, Nairobi, Nairobi",2 Bedrooms,2 Bedrooms For Sale In Kilimani Ready For Occupation.,KSh 10000000
718,"Brookside drive, Brookside, Nairobi, Nairobi",4 Bedrooms,Very Spacious 4 Bedroom Apartment On Brookside Drive,KSh 34000000
719,"Thika Township, Thika Township, Central",3 Bedrooms,Brand New Lovely 3 Bedroom Apartments For Sale In Ruiru-3ke1218275,KSh 8250000
720,"Madeteni, Watamu, Watamu, Coast",22250 Land Size (m²),"55 Acres in Madeteni - South  of Mida Creek, Watamu - S287",KSh 55000000
721,"3rd paklands, Parklands, Nairobi, Nairobi",4 Bedrooms,An Executive And Exclusive Apartment For Sale In Parklands,KSh 35000000
722,"South C, South C, Nairobi, Nairobi",3 Bedrooms,2 Individual 3 Bedroom Apartments Forsale South C Estate,KSh 14000000
723,"Lavington, Lavington, Nairobi, Nairobi",4856 Land Size (m²),12 Acres Vacant Land for sale  in Lavington-3ke1279410,KSh 180000000
724,"Riverside Drive, Riverside, Nairobi, Nairobi",NO001CO03ZVWINTRESKEA Object ID,"Victoria Office Suites, Riverside Drive - Nairobi",KSh 45000000
725,"Muringa road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Aparment For Sale On Muringa Road,KSh 21000000
726,"Cheshale, Malindi, Kilifi, Coast",4 Bedrooms,Exotic 4 Bedroom En-Suite Home for sale in Cheshale,Contact seller for price
727,"Kilimani Nairobi, Kilimani, Nairobi, Nairobi",2 Bedrooms,Attractive Investment Opportunity Â€“ Serviced Apartments For Sale,KSh 17000000
728,"Miotoni lane, Karen, Nairobi, Nairobi",5 Bedrooms,Very Beautiful and Spacious House for sale in Karen Miotoni Lane,KSh 65000000
729,"Nanyuki, Laikipia, Rift Valley",4046 Land Size (m²),1 Acre Plot of Land in Nanyuki,KSh 500000
730,"Kantafu, Kangundo Road, Nairobi, Nairobi",506 Land Size (m²),50*100 Prime Plots in Kantafu,KSh 700000
731,"Gitanga road, Lavington, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Penthouse Fully Furnished To Let In Lavington,KSh 130000
732,"Karen, Karen, Nairobi, Nairobi",4047 Land Size (m²),Vacant Land for sale  in Karen - 3ke1186848,KSh 40000000
733,"Hamisi Road, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,Stunning Apartments In Kileleshwa(Under Construction),KSh 12500000
734,"Milima Road, Hardy, Karen, Nairobi, Nairobi",30351 Land Size (m²),"75 Acres, Milima Road Hardy",KSh 285000000
735,"Vihiga Road, Kileleshwa, Nairobi, Nairobi",4 Bedrooms,"Modern 4 Bedroom & dsq  Apartment for sale, Kileleshwa",KSh 30000000
736,"KITISURU, Kitisuru, Nairobi, Nairobi",4 Bedrooms,House in Kitsuru,KSh 135000000
737,"Riara road, Lavington, Nairobi, Nairobi",4 Bedrooms,Brand New 4 Bedroom Apartment All Ensuite,KSh 18000000
738,"Imara Daima, Imara Daima, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment In Imara Daima,KSh 9000000
739,"Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Apartment For Sale In Kileleshwa,KSh 30000000
740,"Naivasha, Naivasha, Naivasha, Rift Valley",4 Bedrooms,"House at Bin Simba, Naivasha",Contact seller for price
741,"Mombasa Road, Nairobi, Nairobi",3 Rooms (total),"Godowns Apprx 6,500 sqft for Sale Mombasa road",KSh 37000000
742,"kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,Elite 3bedroom Single Storey Luxury Apartment In Kilimani,KSh 23500000
743,"Ruiru, Thika road, Ruiru, Ruiru, Central",2 Bedrooms,2 Bedroom Apartment For Sale In Ruiru,KSh 7500000
744,"Riara road, Lavington, Nairobi, Nairobi",4 Bedrooms,4 Bedrooms For Sale On Riara Road / Lane. From Ksh. 16.5m. Show House Ready.,KSh 16500000
745,"Oloitoktok, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,Executive 2 Bedroom Apartment All Ensuite,KSh 16000000
746,"Komarock, Koma Rock, Nairobi, Nairobi",1 Bedrooms,"Breath-Taking {1, 2 & 3} Bedroomed Apartments For Sale.",KSh 4000000
747,"Riara Road, Lavington, Nairobi, Nairobi",4 Bedrooms,Gorgeous 4 Bedroom Apartment,KSh 33000000
748,"Rail way training school, South B, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Townhouse with master ensuite plus Dsq ensuite for Sale in South B,KSh 12000000
749,"Ruiru, Ruiru, Nairobi, Nairobi",2 Bedrooms,Apartment At The Toll Station,KSh 4000000
750,"Imara Daima, Imara Daima, Nairobi, Nairobi",3 Bedrooms,Imara Gardens Apartments..,KSh 12000000
751,"Kilimani, Nairobi, Nairobi",3 Bedrooms,""" Great Investment - 3 Bedroom Plus Dsq""",KSh 19000000
752,"Penthouse For Sale In Westlands, Rhapta Road, Rhapta Road, Nairobi, Nairobi",4 Bedrooms,"Penthouse For Sale In Westlands, Rhapta Road",KSh 39000000
753,"Kingara-Lavington, Lavington, Nairobi, Nairobi",4 Bedrooms,Riverpoint Apartments - 4 Bedroom All Ensuite In Lavington,KSh 31000000
754,"GATUNDU CRESCENT RD, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,Kileleshwa;2 Bedroom Apartment With Dsq For Sale,KSh 17750000
755,"Mbaazi Avenue, Lavington, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Lavington,KSh 21500000
756,"Riara road kilimani nairobi, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Premier Apartment For Sale In Kilimani,KSh 19500000
757,"mugoiri road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,An Elegant And Exclusive Apartment For Sale In Kileleshwa,KSh 25000000
758,"Gatundu road,Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,"3 Bedroom Apartment For Sale, Kileleshwa",KSh 18000000
759,"kirichwa rd kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Modern Apartment Kirichwa Kilimani.14.5m,KSh 14500000
760,"Kileleshwa, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment At Kileleshwa,KSh 18900000
761,"Riruta, Riruta, , Rift Valley",40469 Land Size (m²),"1 Acre Plot of Land for sale  Ontulili, Nanyuki",KSh 3900000
762,"Gatundu Rd, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment / Flat For Sale In Kileleshwa,KSh 12500000
763,"GATUNDU CRESCENT RD, Kileleshwa, Nairobi, Nairobi",1 Bedrooms,Kileleshwa;1bedroom Apartment For Sale,KSh 10750000
764,"Mombasa road, Mombasa Road, Nairobi, Nairobi",6 Rooms (total),"Godowns Apprx 7,600 sqft For Sale Mombasa rd",KSh 40000000
765,"Riara Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom + Dsq Apartment For Sale On Riara Road. Ksh. 14.5m,KSh 14500000
766,"Mida Creek, Riruta, Nairobi, Nairobi",10481 Land Size (m²),Land for sale  in Mida Creek Watamu ‚Äì Ref Mfmn02,KSh 22000000
767,"Sagana, C71, Riruta, Nairobi, Nairobi",5 Bedrooms,"5 Bedroom Apartment, Sagana",KSh 25000000
768,"Riabai Road, Kiambu Township, Kiambu, Central",1 Bedrooms,1 Bedrooms For Sale In Migaa Golf Estate Kiambu,KSh 6500000
769,"Mombasa Road, Nairobi, Nairobi",1 Bedrooms,Beautiful Apartments Along Mombasa Road S270,KSh 3300000
770,"Mpaka Road, Westlands, Nairobi, Nairobi",3 Bedrooms,Westlands- Spacious Apartment,KSh 34000000
771,"Industrial area, Industrial Area, Nairobi, Nairobi",20 Rooms (total),7 Godowns for sale on 2.7 Acre Industrial Area,KSh 380000000
772,"Athi River, Athi River, Eastern",3 Bedrooms,3 Bedroom House In Green Park Estate-Athi River,KSh 9580000
773,"Riara Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment Off Plan For Sale On Riara Road.,KSh 11500000
774,"Karen, Karen, Nairobi, Nairobi",10117 Land Size (m²),25 Acres Residential Vacant Land for sale  in Karen,KSh 150000000
775,"Malindi-Shanzu, shanzu, Mombasa, Coast",3 Bedrooms,Fabulous 3 Bedroom Apartments For Sale,KSh 12000000
776,"Kikuyu Township, Kikuyu Township, Central",2 Bedrooms,Westpoint Heights- Elegant 2 Bedroom Apartments,KSh 7500000
777,"Riara Road, Lavington, Nairobi, Nairobi",3 Bedrooms,"3 Bedrooms + Dsq For Sale On Riara Road, From Ksh. 18m Only",KSh 18000000
778,"Lavington, Nairobi, Nairobi",3 Bedrooms,"""3 Bedroom Plus Dsq For Sale - Good Deal""",KSh 20000000
779,"Riara Rd Maziwa, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment / Flat For Sale In Kilimani,KSh 11500000
780,"executive 4 bedroom master ensuit apartment for sale in Sigona, Ruaka, Nairobi, Nairobi",4 Bedrooms,Excecutivet 4 Bed Roomed All Ensuite Apartment For Sale In Sigona,KSh 11000000
781,"Muthaiga, Muthaiga, Nairobi, Nairobi",3 Bedrooms,Luxury Three Bedroom Apartments For Sale,Contact seller for price
782,"Bellevue, Nairobi, Nairobi",3 Bedrooms,Apartments In Bellevue,KSh 15000000
783,"Riara road, Riara, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Riara,KSh 16500000
784,"Westlands, Westlands, Nairobi, Nairobi",2 Bedrooms,Two Bedroom Apartment For Sale In Westlands,KSh 26000000
785,"Acacia, Kitengela, Kajiado, Rift Valley",NO226LA07JAAINTRESKE-NEW Object ID,Prime Plots Kitengela Acacia,KSh 1500000
786,"Mombasa road, Mombasa Road, Nairobi, Nairobi",6 Rooms (total),"Godowns Apprx 7,600 sqft For Sale Mombasa rd",KSh 37000000
787,"Ruaka, Nairobi, Nairobi",1011 Land Size (m²),Plot of Land in Ruaka,KSh 10000000
788,"arwings kodhek road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Apartment,KSh 17000000
789,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",4 Bedrooms,A New 4 Bedroom Apartment Available For Sale In Kileleshwa,KSh 32000000
790,"Hurlingham, Nairobi, Nairobi",3 Bedrooms,Apartment In Hurlingham,KSh 26500000
791,"Riara road, Kilimani, Nairobi, Nairobi",2 Bedrooms,"Spacious 2 Bedrooms For Sale On Riara Road, Ksh. 9.7m Only With A Tenant Already.",KSh 9700000
792,"Westlands, Nairobi, Nairobi",3 Bedrooms,"Apartment At Navilla Springs, Westlands",KSh 25000000
793,"Kayahwe road, Kilimani, Nairobi, Nairobi",3 Bedrooms,3bedroom Apartment For Sale Nearby Yaya,KSh 13500000
794,"Kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,New Executive Full Furnished Apartment For Sale,KSh 32000000
795,"Gitanga road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,3 Bedroom + Dsq Apartments All Ensuite To Let,KSh 20000000
796,"Riverside Drive, Riverside, Nairobi, Nairobi",4 Bedrooms,Luxury Apartments In Riverside,KSh 75000000
797,"kileleshwa, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,2 & 3 Bedroom Apartment At Kileleshwa,KSh 8000000
798,"MENELIK ROAD., Kilimani, Nairobi, Nairobi",4 Bedrooms,KILIMANI - 4 BEDROOMS M-ENSUITE MAISONETTE.,KSh 30000000
799,"Lamu Road, Malindi, Kilifi, Coast",,Established Bar & Restaurant for sale In Malindi,KSh 30000000
800,"kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,Luxurious 3 Bedroom Furnished Apartment in Kilimani,KSh 24000000
801,"convent drive, Lavington, Nairobi, Nairobi",5 Bedrooms,Laving Ton Town House for sale,KSh 65000000
802,"Mombasa Road, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Maissionette Along Mombasa Road,KSh 15500000
803,"Nyeri Road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,The Marquis Luxxury Apartments Kileleshwa,KSh 16750000
804,"off gatundu road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,An Elegant And Exclusive 3bedroomed For Sale In Kileleshwa,KSh 24000000
805,"Francipani Road, Malindi, Kilifi, Coast",3 Bedrooms,Newly Built Villa for sale in Malindi,KSh 19000000
806,"Kilimani Nairobi, Kilimani, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale In Kilimani,KSh 12500000
807,"Watamu Beach, Watamu, Watamu, Coast",8000 Land Size (m²),2 One Acre Beach Plots,KSh 20000000
808,"Riverside Drive, Riverside, Nairobi, Nairobi, Riverside, Nairobi, Nairobi",5 Bedrooms,17 0712 ST Ideal Property For The Most Discerning Buyer 17 06 23,KSh 120000000
809,"off Katani Road, Syokimau, Nairobi, Nairobi",2 Bedrooms,"Apartment At At 360 Court Phase 4,Syokimau",KSh 4000000
810,"Ngong Road, Karen, Nairobi, Nairobi",10117 Land Size (m²),25 Acres Residential Vacant Land for sale  in Karen,KSh 150000000
811,"Waiyaki Way, Mountain View, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale In Mountain View,KSh 8000000
812,"Kitisuru Estate, Kitisuru, Nairobi, Nairobi",5 Bedrooms,17 1004 ST Perfect family home which is an absolute must see 17 09 29,KSh 170000000
813,"Vihiga road, Kileleshwa, Nairobi, Nairobi",4 Bedrooms,Four Bedroom Apartment For Sale In Kileleshwa,KSh 35000000
814,"dennis prit road, Kilimani, Nairobi, Nairobi",2 Bedrooms,Apartment Available For Sale,KSh 16000000
815,"Nakuru Kabarak Rd., Nakuru, Nakuru, Rift Valley",3 Bedrooms,Montey Apartments - Phase 2,KSh 6000000
816,"Gachie town, Riruta, Kiambu, Central",1208 Land Size (m²),Land With Flats for sale  in Gachie,KSh 45000000
817,"Kilimani lenana Road, Kilimani, Nairobi, Nairobi",15 Rooms (total),Modern Office Space at 761Lenana Road,Contact seller for price
818,"links road, Nyali, Mombasa, Coast",3 Bedrooms,Apartment For Sale,KSh 15000000
819,"Riara Road, Lavington, Nairobi, Nairobi",3 Bedrooms,Lavington Luxury Penthouse,KSh 35000000
820,"Saika, Koma Rock, Nairobi, Nairobi",NO001LA58USZINTRESKE-NEW Object ID,Saika 23 Ft 70 Ft (7 Meters X 21 Meters ) Plots for sale,KSh 1650000
821,"Isinya, Kajiado, Rift Valley",40469 Land Size (m²),40469 Sqm Plot of Land in Isinya,Contact seller for price
822,"Dennis Pritt Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Executive 3br+Sq Apartment For Sale Along Dennis Pritt Rd,KSh 24500000
823,"Riverside Drive, Riverside, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Riverside Drive,KSh 40000000
824,"Sabaki, Riruta, Athi River, Eastern",505 Land Size (m²),1/8 (50 By 100) Plots for sale  in Sabaki - Athi River,KSh 2500000
825,"waiyaki way, Waiyaki Way, Nairobi, Nairobi",3 Bedrooms,Waiyaki Ridge Gardens,KSh 12500000
826,"Limuru Road, Parklands, Nairobi, Nairobi",3 Bedrooms,Beautifully 3 Bedrooms Apartment,KSh 22000000
827,"Dagoretti Bypass, Karen, Nairobi, Nairobi",NO008LA83FZCINTRESKE-NEW Object ID,1 Acres Vacant Land for sale  in Karen - 3ke1317353,KSh 54000000
828,"Muguga, Muguga, Muguga, Central",506 Land Size (m²),50/100 Prime Plots for sale  in Muguga,KSh 1600000
829,"Lavington, Nairobi, Nairobi",4 Bedrooms,"Confluence Apartments, 4 Bedroom At Hatheru Rd",KSh 19500000
830,"Ruiru, Ruiru, Nairobi, Nairobi",1747872 Land Size (m²),432 Acres of Prime Land for sale  in Ruiru,KSh 6500000
831,"Kirichwa road, Kilimani, Nairobi, Nairobi",2 Bedrooms,"Luxury 2 Bedrooms For Sale On Kirichwa Road, Kilimani.",KSh 8500000
832,"Kiambu road, Kiambu Road, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment Master Ensuite For Sale In Kiambu,KSh 12500000
833,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Kileleshwa: Brand New & Elegant Apartments For Sale 25m,KSh 23500000
834,"Brookside drive, Brookside, Nairobi, Nairobi",4 Bedrooms,Magnificent 4 Bedroom Apartment On Brookside Drive,KSh 32000000
