,address,description,name,value
1459,"Thidigua, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,Apartments For Sale,KSh 9000000
1460,"5th Avenue off Mahesh Doshi Road, Nyali, Mombasa, Coast",3 Bedrooms,Modern Two And Three Bedroom Apartments For Sale In Nyali,KSh 17000000
1461,"riara rd, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom For Sale In Lavington,KSh 21000000
1462,"Langata, Nairobi, Nairobi",2 Bedrooms,Apartment For Sale In Langata,KSh 5300000
1463,"Nyayo Estate, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment Nyayo Estate,KSh 7500000
1464,"LIMURU ROAD, Ruaka, Nairobi, Nairobi",3 Bedrooms,3bedroom Apartment Master Ensuite For Sale In Ruaka,KSh 8500000
1465,"kitengela, Kitengela, Kajiado, Rift Valley",506 Land Size (m²),Plot in Kitengela,KSh 1900000
1466,"Loresho, Nairobi, Nairobi",3 Bedrooms,Loresho Green Apartments - 3 Bedroom With Sq - Loresho,KSh 15500000
1467,"riverside, Riverside, Nairobi, Nairobi",3 Bedrooms,3bedroomed Apartment For Sale River Side,KSh 38000000
1468,"Runda, Nairobi, Nairobi",3 Bedrooms,Runda View Apartments 3br - Limuru Rd - Ruaka,KSh 10950000
1469,"Dennis Pritt Road, Kilimani, Nairobi, Nairobi",2 Bedrooms,Stunning Apartments In Kilimani,KSh 12500000
1470,"Riara Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale On Riara Road.,KSh 14500000
1471,"Riara Road, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment Off Plan For Sale On Riara Road.,KSh 11500000
1472,"Kapenguria road, Loresho, Nairobi, Nairobi",3 Bedrooms,Spacious 3 Bedroom Apartments For Sale Along Kapenguria Rd In Loresho,KSh 9750000
1473,"Eastern Bypass Mihango, Utawala , Nairobi, Nairobi",1 Bedrooms,1 Bedroom Apartment / Flat For Sale In Utawala,KSh 50000000
1474,"MILIMANI KITENGELA, Athi River, Machakos, Eastern",3 Bedrooms,THREE BEDROOM MAISONETTES WITH DSQ IN MILIMANI KITENGELA,KSh 12000000
1475,"Kuruwitu, Vipingo, Mombasa, Coast",12140 Land Size (m²),"Vipingo Seafront, Plot 3 Acres with 101 Metre Frontage",KSh 65000000
1476,"KERARAPON, Karen, Nairobi, Nairobi",1 Bedrooms,Spacious 1 Bedroom Apartment-Benann Apartments-Karen,KSh 5500000
1477,"Gatundu Road, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,"Off Plan 2 Bedroom Apartment For Sale, Kileleshwa",KSh 9000000
1478,"Lavington, Nairobi, Nairobi",5 Bedrooms,Lavington 5 Bedroom Villa For Sale,KSh 68000000
1479,"peponi road, Westlands, Nairobi, Nairobi",4 Bedrooms,Spaious 4 Bedroom,KSh 47000000
